Manufacturer,Type,Cost,Power
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2015,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.64,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1
Rohm_Semiconductor,Metal_Oxide,0.20305,3
Rohm_Semiconductor,Metal_Oxide,0.64,3
Rohm_Semiconductor,Metal_Oxide,?,3
Diodes_Incorporated,Metal_Oxide,0.21235,0.89
Diodes_Incorporated,Metal_Oxide,0.67,0.89
Diodes_Incorporated,Metal_Oxide,?,0.89
ON_Semiconductor,Metal_Oxide,0.21344,1.4
ON_Semiconductor,Metal_Oxide,0.67,1.4
ON_Semiconductor,Metal_Oxide,?,1.4
Diodes_Incorporated,Metal_Oxide,0.217,1.6
Diodes_Incorporated,Metal_Oxide,0.68,1.6
Diodes_Incorporated,Metal_Oxide,?,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.217,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.68,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1
Vishay_Siliconix,Metal_Oxide,0.2175,10.4
Vishay_Siliconix,Metal_Oxide,0.62,10.4
Vishay_Siliconix,Metal_Oxide,?,10.4
Diodes_Incorporated,Metal_Oxide,0.2175,2.14
Diodes_Incorporated,Metal_Oxide,0.62,2.14
Diodes_Incorporated,Metal_Oxide,?,2.14
Rohm_Semiconductor,Metal_Oxide,0.21779,2
Rohm_Semiconductor,Metal_Oxide,0.62,2
Rohm_Semiconductor,Metal_Oxide,?,2
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.22165,35
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.7,35
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,35
Diodes_Incorporated,Metal_Oxide,0.22185,0.82
Diodes_Incorporated,Metal_Oxide,0.63,0.82
Diodes_Incorporated,Metal_Oxide,?,0.82
Infineon_Technologies,Metal_Oxide,0.22613,25
Infineon_Technologies,Metal_Oxide,0.69,25
Infineon_Technologies,Metal_Oxide,?,25
STMicroelectronics,Metal_Oxide,0.227,30
STMicroelectronics,Metal_Oxide,0.67,30
STMicroelectronics,Metal_Oxide,?,30
Fairchild_Semiconductor,Metal_Oxide,0.2295,0.6
Fairchild_Semiconductor,Metal_Oxide,0.7,0.6
Fairchild_Semiconductor,Metal_Oxide,?,0.6
Vishay_Siliconix,Metal_Oxide,0.232,2.8
Vishay_Siliconix,Metal_Oxide,0.66,2.8
Vishay_Siliconix,Metal_Oxide,?,2.8
ON_Semiconductor,Metal_Oxide,0.232,0.78
ON_Semiconductor,Metal_Oxide,0.66,0.78
ON_Semiconductor,Metal_Oxide,?,0.78
ON_Semiconductor,Metal_Oxide,0.2346,0.81
ON_Semiconductor,Metal_Oxide,0.67,0.81
ON_Semiconductor,Metal_Oxide,?,0.81
NXP_Semiconductors,Metal_Oxide,0.23511,52
NXP_Semiconductors,Metal_Oxide,0.68,52
NXP_Semiconductors,Metal_Oxide,?,52
Rohm_Semiconductor,Metal_Oxide,0.23592,2
Rohm_Semiconductor,Metal_Oxide,0.67,2
Rohm_Semiconductor,Metal_Oxide,?,2
Infineon_Technologies,Metal_Oxide,0.23867,18
Infineon_Technologies,Metal_Oxide,0.68,18
Infineon_Technologies,Metal_Oxide,?,18
Rohm_Semiconductor,Metal_Oxide,0.2407,3
Rohm_Semiconductor,Metal_Oxide,0.68,3
Rohm_Semiconductor,Metal_Oxide,?,3
Infineon_Technologies,Metal_Oxide,0.24341,27
Infineon_Technologies,Metal_Oxide,0.74,27
Infineon_Technologies,Metal_Oxide,?,27
Infineon_Technologies,Metal_Oxide,0.24624,32
Infineon_Technologies,Metal_Oxide,0.75,32
Infineon_Technologies,Metal_Oxide,?,32
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2465,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.7,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.7
Rohm_Semiconductor,Metal_Oxide,0.24984,2
Rohm_Semiconductor,Metal_Oxide,0.71,2
Rohm_Semiconductor,Metal_Oxide,?,2
ON_Semiconductor,Metal_Oxide,0.25415,0.92
ON_Semiconductor,Metal_Oxide,0.73,0.92
ON_Semiconductor,Metal_Oxide,?,0.92
STMicroelectronics,Metal_Oxide,0.255,2
STMicroelectronics,Metal_Oxide,0.76,2
STMicroelectronics,Metal_Oxide,?,2
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.261,1.2
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1.2
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1.2
Infineon_Technologies,Metal_Oxide,0.26379,35
Infineon_Technologies,Metal_Oxide,0.81,35
Infineon_Technologies,Metal_Oxide,?,35
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.2639,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.75,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1.6
ON_Semiconductor,Metal_Oxide,0.27014,58
ON_Semiconductor,Metal_Oxide,0.77,58
ON_Semiconductor,Metal_Oxide,?,58
STMicroelectronics,Metal_Oxide,0.271,30
STMicroelectronics,Metal_Oxide,0.8,30
STMicroelectronics,Metal_Oxide,?,30
Infineon_Technologies,Metal_Oxide,0.27648,45
Infineon_Technologies,Metal_Oxide,0.84,45
Infineon_Technologies,Metal_Oxide,?,45
Vishay_Siliconix,Metal_Oxide,0.27695,2.5
Vishay_Siliconix,Metal_Oxide,0.79,2.5
Vishay_Siliconix,Metal_Oxide,?,2.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.28275,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.8,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1.6
STMicroelectronics,Metal_Oxide,0.293,45
STMicroelectronics,Metal_Oxide,0.86,45
STMicroelectronics,Metal_Oxide,?,45
Vishay_Siliconix,Metal_Oxide,0.29725,1.5
Vishay_Siliconix,Metal_Oxide,0.84,1.5
Vishay_Siliconix,Metal_Oxide,?,1.5
Fairchild_Semiconductor,Metal_Oxide,0.0357,0.2
Fairchild_Semiconductor,Metal_Oxide,0.3,0.2
Fairchild_Semiconductor,Metal_Oxide,?,0.2
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.31175,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.89,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.7
Infineon_Technologies,Metal_Oxide,0.31276,25
Infineon_Technologies,Metal_Oxide,0.89,25
Infineon_Technologies,Metal_Oxide,?,25
ON_Semiconductor,Metal_Oxide,0.3128,0.87
ON_Semiconductor,Metal_Oxide,0.81,0.87
ON_Semiconductor,Metal_Oxide,?,0.87
Infineon_Technologies,Metal_Oxide,0.31784,68
Infineon_Technologies,Metal_Oxide,0.9,68
Infineon_Technologies,Metal_Oxide,?,68
Vishay_Siliconix,Metal_Oxide,0.319,4.5
Vishay_Siliconix,Metal_Oxide,0.91,4.5
Vishay_Siliconix,Metal_Oxide,?,4.5
ON_Semiconductor,Metal_Oxide,0.3312,3.1
ON_Semiconductor,Metal_Oxide,0.85,3.1
ON_Semiconductor,Metal_Oxide,?,3.1
NXP_Semiconductors,Metal_Oxide,0.33364,60
NXP_Semiconductors,Metal_Oxide,0.95,60
NXP_Semiconductors,Metal_Oxide,?,60
Infineon_Technologies,Metal_Oxide,0.33423,57
Infineon_Technologies,Metal_Oxide,0.91,57
Infineon_Technologies,Metal_Oxide,?,57
ON_Semiconductor,Metal_Oxide,0.33684,83
ON_Semiconductor,Metal_Oxide,0.96,83
ON_Semiconductor,Metal_Oxide,?,83
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.34075,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.97,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.34075,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.97,1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1
STMicroelectronics,Metal_Oxide,0.35,30
STMicroelectronics,Metal_Oxide,0.92,30
STMicroelectronics,Metal_Oxide,?,30
Infineon_Technologies,Metal_Oxide,0.35192,34
Infineon_Technologies,Metal_Oxide,1,34
Infineon_Technologies,Metal_Oxide,?,34
Rohm_Semiconductor,Metal_Oxide,0.35235,3
Rohm_Semiconductor,Metal_Oxide,1,3
Rohm_Semiconductor,Metal_Oxide,?,3
Rohm_Semiconductor,Metal_Oxide,0.3528,2
Rohm_Semiconductor,Metal_Oxide,0.91,2
Rohm_Semiconductor,Metal_Oxide,?,2
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.3591,34
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.97,34
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,34
STMicroelectronics,Metal_Oxide,0.36,40
STMicroelectronics,Metal_Oxide,0.94,40
STMicroelectronics,Metal_Oxide,?,40
STMicroelectronics,Metal_Oxide,0.36,45
STMicroelectronics,Metal_Oxide,0.95,45
STMicroelectronics,Metal_Oxide,?,45
STMicroelectronics,Metal_Oxide,0.36,45
STMicroelectronics,Metal_Oxide,0.94,45
STMicroelectronics,Metal_Oxide,?,45
Vishay_Siliconix,Metal_Oxide,0.3682,1.14
Vishay_Siliconix,Metal_Oxide,0.95,1.14
Vishay_Siliconix,Metal_Oxide,?,1.14
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.36841,42
Toshiba_Semiconductor_and_Storage,Metal_Oxide,1,42
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,42
STMicroelectronics,Metal_Oxide,0.3724,2.5
STMicroelectronics,Metal_Oxide,0.96,2.5
STMicroelectronics,Metal_Oxide,?,2.5
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.37506,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,1.02,1.6
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,1.6
Rohm_Semiconductor,Metal_Oxide,0.37632,3
Rohm_Semiconductor,Metal_Oxide,0.97,3
Rohm_Semiconductor,Metal_Oxide,?,3
NXP_Semiconductors,Metal_Oxide,0.3768,60
NXP_Semiconductors,Metal_Oxide,0.91,60
NXP_Semiconductors,Metal_Oxide,?,60
NXP_Semiconductors,Metal_Oxide,0.3768,59.4
NXP_Semiconductors,Metal_Oxide,0.91,59.4
NXP_Semiconductors,Metal_Oxide,?,59.4
Vishay_Siliconix,Metal_Oxide,0.378,44.6
Vishay_Siliconix,Metal_Oxide,0.97,44.6
Vishay_Siliconix,Metal_Oxide,?,44.6
NXP_Semiconductors,Metal_Oxide,0.38248,88
NXP_Semiconductors,Metal_Oxide,0.99,88
NXP_Semiconductors,Metal_Oxide,?,88
Infineon_Technologies,Metal_Oxide,0.38976,47
Infineon_Technologies,Metal_Oxide,1,47
Infineon_Technologies,Metal_Oxide,?,47
NXP_Semiconductors,Metal_Oxide,0.39116,80
NXP_Semiconductors,Metal_Oxide,1.01,80
NXP_Semiconductors,Metal_Oxide,?,80
NXP_Semiconductors,Metal_Oxide,0.39116,80
NXP_Semiconductors,Metal_Oxide,1.01,80
NXP_Semiconductors,Metal_Oxide,?,80
Infineon_Technologies,Metal_Oxide,0.39767,69
Infineon_Technologies,Metal_Oxide,1.08,69
Infineon_Technologies,Metal_Oxide,?,69
STMicroelectronics,Metal_Oxide,0.398,60
STMicroelectronics,Metal_Oxide,1.05,60
STMicroelectronics,Metal_Oxide,?,60
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.0496,0.1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.4,0.1
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.1
STMicroelectronics,Metal_Oxide,0.406,45
STMicroelectronics,Metal_Oxide,1.06,45
STMicroelectronics,Metal_Oxide,?,45
Fairchild_Semiconductor,Metal_Oxide,0.40726,1.6
Fairchild_Semiconductor,Metal_Oxide,1.05,1.6
Fairchild_Semiconductor,Metal_Oxide,?,1.6
STMicroelectronics,Metal_Oxide,0.4102,90
STMicroelectronics,Metal_Oxide,1.06,90
STMicroelectronics,Metal_Oxide,?,90
NXP_Semiconductors,Metal_Oxide,0.41048,80
NXP_Semiconductors,Metal_Oxide,1.06,80
NXP_Semiconductors,Metal_Oxide,?,80
STMicroelectronics,Metal_Oxide,0.419,70
STMicroelectronics,Metal_Oxide,1.1,70
STMicroelectronics,Metal_Oxide,?,70
Infineon_Technologies,Metal_Oxide,0.42504,47
Infineon_Technologies,Metal_Oxide,1.1,47
Infineon_Technologies,Metal_Oxide,?,47
Infineon_Technologies,Metal_Oxide,0.4326,94
Infineon_Technologies,Metal_Oxide,1.04,94
Infineon_Technologies,Metal_Oxide,?,94
STMicroelectronics,Metal_Oxide,0.434,2.5
STMicroelectronics,Metal_Oxide,1.14,2.5
STMicroelectronics,Metal_Oxide,?,2.5
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.434,83
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,1.12,83
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,83
STMicroelectronics,Metal_Oxide,0.439,50
STMicroelectronics,Metal_Oxide,1.15,50
STMicroelectronics,Metal_Oxide,?,50
Fairchild_Semiconductor,Metal_Oxide,0.448,2.5
Fairchild_Semiconductor,Metal_Oxide,1.16,2.5
Fairchild_Semiconductor,Metal_Oxide,?,2.5
Fairchild_Semiconductor,Metal_Oxide,0.44814,128
Fairchild_Semiconductor,Metal_Oxide,1.16,128
Fairchild_Semiconductor,Metal_Oxide,?,128
STMicroelectronics,Metal_Oxide,0.45,2.5
STMicroelectronics,Metal_Oxide,1.05,2.5
STMicroelectronics,Metal_Oxide,?,2.5
ON_Semiconductor,Metal_Oxide,0.1426,1
ON_Semiconductor,Metal_Oxide,0.45,1
ON_Semiconductor,Metal_Oxide,?,1
Vishay_Siliconix,Metal_Oxide,0.4522,2.5
Vishay_Siliconix,Metal_Oxide,1.17,2.5
Vishay_Siliconix,Metal_Oxide,?,2.5
Fairchild_Semiconductor,Metal_Oxide,0.45276,3.7
Fairchild_Semiconductor,Metal_Oxide,1.17,3.7
Fairchild_Semiconductor,Metal_Oxide,?,3.7
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.11385,0.8
Toshiba_Semiconductor_and_Storage,Metal_Oxide,0.46,0.8
Toshiba_Semiconductor_and_Storage,Metal_Oxide,?,0.8
Diodes_Incorporated,Metal_Oxide,0.11344,0.5
Diodes_Incorporated,Metal_Oxide,0.46,0.5
Diodes_Incorporated,Metal_Oxide,?,0.5
ON_Semiconductor,Metal_Oxide,0.462,1.5
ON_Semiconductor,Metal_Oxide,1.19,1.5
ON_Semiconductor,Metal_Oxide,?,1.5
Infineon_Technologies,Metal_Oxide,0.47082,1.6
Infineon_Technologies,Metal_Oxide,1.21,1.6
Infineon_Technologies,Metal_Oxide,?,1.6
Infineon_Technologies,Metal_Oxide,0.4781,1.56
Infineon_Technologies,Metal_Oxide,1.23,1.56
Infineon_Technologies,Metal_Oxide,?,1.56
Diodes_Incorporated,Metal_Oxide,0.06,0.5
Diodes_Incorporated,Metal_Oxide,0.48,0.5
Diodes_Incorporated,Metal_Oxide,?,0.5
NXP_Semiconductors,Metal_Oxide,0.48206,62
NXP_Semiconductors,Metal_Oxide,1.05,62
NXP_Semiconductors,Metal_Oxide,?,62
Vishay_Siliconix,Metal_Oxide,0.155,13
Vishay_Siliconix,Metal_Oxide,0.49,13
Vishay_Siliconix,Metal_Oxide,?,13
Diodes_Incorporated,Metal_Oxide,0.155,1.54
Diodes_Incorporated,Metal_Oxide,0.49,1.54
Diodes_Incorporated,Metal_Oxide,?,1.54
Diodes_Incorporated,Metal_Oxide,0.12177,1.4
Diodes_Incorporated,Metal_Oxide,0.49,1.4
Diodes_Incorporated,Metal_Oxide,?,1.4
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,0.4914,7.4
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,1.27,7.4
Alpha___Omega_Semiconductor_Inc,Metal_Oxide,?,7.4
Vishay_Siliconix,Metal_Oxide,0.504,1.4
Vishay_Siliconix,Metal_Oxide,1.3,1.4
Vishay_Siliconix,Metal_Oxide,?,1.4
International_Rectifier,Metal_Oxide,0.50508,91
International_Rectifier,Metal_Oxide,1.55,91
International_Rectifier,Metal_Oxide,?,91
Infineon_Technologies,Metal_Oxide,0.50753,2.5
Infineon_Technologies,Metal_Oxide,1.38,2.5
Infineon_Technologies,Metal_Oxide,?,2.5
Infineon_Technologies,Metal_Oxide,0.51112,50
Infineon_Technologies,Metal_Oxide,1.39,50
Infineon_Technologies,Metal_Oxide,?,50
Infineon_Technologies,Metal_Oxide,0.51538,66
Infineon_Technologies,Metal_Oxide,1.4,66
Infineon_Technologies,Metal_Oxide,?,66
NXP_Semiconductors,Metal_Oxide,0.51744,115
NXP_Semiconductors,Metal_Oxide,1.33,115
NXP_Semiconductors,Metal_Oxide,?,115
NXP_Semiconductors,Metal_Oxide,0.51744,114
NXP_Semiconductors,Metal_Oxide,1.33,114
NXP_Semiconductors,Metal_Oxide,?,114
NXP_Semiconductors,Metal_Oxide,0.51744,114
NXP_Semiconductors,Metal_Oxide,1.33,114
NXP_Semiconductors,Metal_Oxide,?,114
Rohm_Semiconductor,Metal_Oxide,0.12059,0.4
Rohm_Semiconductor,Metal_Oxide,0.52,0.4
Rohm_Semiconductor,Metal_Oxide,?,0.4
Rohm_Semiconductor,Metal_Oxide,0.52808,3
Rohm_Semiconductor,Metal_Oxide,1.36,3
Rohm_Semiconductor,Metal_Oxide,?,3
Rohm_Semiconductor,Metal_Oxide,0.5292,3
Rohm_Semiconductor,Metal_Oxide,1.36,3
Rohm_Semiconductor,Metal_Oxide,?,3
Central_Semiconductor_Corp,Metal_Oxide,0.162,0.125
Central_Semiconductor_Corp,Metal_Oxide,0.53,0.125
Central_Semiconductor_Corp,Metal_Oxide,?,0.125
NXP_Semiconductors,Metal_Oxide,0.53228,158
NXP_Semiconductors,Metal_Oxide,1.37,158
NXP_Semiconductors,Metal_Oxide,?,158
Infineon_Technologies,Metal_Oxide,0.53494,63
Infineon_Technologies,Metal_Oxide,1.22,63
Infineon_Technologies,Metal_Oxide,?,63
NXP_Semiconductors,Metal_Oxide,0.53595,85
NXP_Semiconductors,Metal_Oxide,1.29,85
NXP_Semiconductors,Metal_Oxide,?,85
NXP_Semiconductors,Metal_Oxide,0.53834,103
NXP_Semiconductors,Metal_Oxide,1.17,103
NXP_Semiconductors,Metal_Oxide,?,103
STMicroelectronics,Metal_Oxide,0.539,60
STMicroelectronics,Metal_Oxide,1.42,60
STMicroelectronics,Metal_Oxide,?,60
Vishay_Siliconix,Metal_Oxide,0.1705,13
Vishay_Siliconix,Metal_Oxide,0.54,13
Vishay_Siliconix,Metal_Oxide,?,13
Vishay_Siliconix,Metal_Oxide,0.1705,0.236
Vishay_Siliconix,Metal_Oxide,0.54,0.236
Vishay_Siliconix,Metal_Oxide,?,0.236
Infineon_Technologies,Metal_Oxide,0.54096,48
Infineon_Technologies,Metal_Oxide,1.39,48
Infineon_Technologies,Metal_Oxide,?,48
NXP_Semiconductors,Metal_Oxide,0.54896,103
NXP_Semiconductors,Metal_Oxide,1.19,103
NXP_Semiconductors,Metal_Oxide,?,103
STMicroelectronics,Metal_Oxide,0.549,70
STMicroelectronics,Metal_Oxide,1.44,70
STMicroelectronics,Metal_Oxide,?,70
Diodes_Incorporated,Metal_Oxide,0.1008,0.5
Diodes_Incorporated,Metal_Oxide,0.55,0.5
Diodes_Incorporated,Metal_Oxide,?,0.5
Infineon_Technologies,Metal_Oxide,0.55006,63
Infineon_Technologies,Metal_Oxide,1.42,63
Infineon_Technologies,Metal_Oxide,?,63
Infineon_Technologies,Metal_Oxide,0.55142,78
Infineon_Technologies,Metal_Oxide,1.5,78
Infineon_Technologies,Metal_Oxide,?,78
International_Rectifier,Metal_Oxide,0.55233,3
International_Rectifier,Metal_Oxide,1.62,3
International_Rectifier,Metal_Oxide,?,3
Rohm_Semiconductor,Metal_Oxide,0.55398,2
Rohm_Semiconductor,Metal_Oxide,1.43,2
Rohm_Semiconductor,Metal_Oxide,?,2
STMicroelectronics,Metal_Oxide,0.557,80
STMicroelectronics,Metal_Oxide,1.47,80
STMicroelectronics,Metal_Oxide,?,80
Vishay_Siliconix,Metal_Oxide,0.1767,0.28
Vishay_Siliconix,Metal_Oxide,0.56,0.28
Vishay_Siliconix,Metal_Oxide,?,0.28
STMicroelectronics,Metal_Oxide,?,150
Infineon_Technologies,Metal_Oxide,7.34,?
STMicroelectronics,Metal_Oxide,3.83001,150
STMicroelectronics,Metal_Oxide,7.36,150
STMicroelectronics,Metal_Oxide,?,150
STMicroelectronics,Metal_Oxide,7.5,30
STMicroelectronics,Metal_Oxide,4.05,190
STMicroelectronics,Metal_Oxide,7.5,190
STMicroelectronics,Metal_Oxide,?,190
Fairchild_Semiconductor,Metal_Oxide,7.5,357
Fairchild_Semiconductor,Metal_Oxide,3.79899,429
Fairchild_Semiconductor,Metal_Oxide,7.54,429
Fairchild_Semiconductor,Metal_Oxide,?,429
STMicroelectronics,Metal_Oxide,4.09,300
STMicroelectronics,Metal_Oxide,7.57,300
STMicroelectronics,Metal_Oxide,?,300
